uniprotAcc	ensembl_gene_name	HGNC_symbol	HGNC_name
P04908	H2AC4	H2AC4	H2A clustered histone 4
P04908	H2AC8	H2AC8	H2A clustered histone 8
P0C0S8	H2AC11	H2AC11	H2A clustered histone 11
P0C0S8	H2AC13	H2AC13	H2A clustered histone 13
P0C0S8	H2AC15	H2AC15	H2A clustered histone 15
P0C0S8	H2AC16	H2AC16	H2A clustered histone 16
P0C0S8	H2AC17	H2AC17	H2A clustered histone 17
P62805	H4C14	H4C14	H4 clustered histone 14
P62805	H4C15	H4C15	H4 clustered histone 15
P62805	H4C11	H4C11	H4 clustered histone 11
P62805	H4C12	H4C12	H4 clustered histone 12
P62805	H4C13	H4C13	H4 clustered histone 13
P62805	H4C1	H4C1	H4 clustered histone 1
P62805	H4C2	H4C2	H4 clustered histone 2
P62805	H4C3	H4C3	H4 clustered histone 3
P62805	H4C4	H4C4	H4 clustered histone 4
P62805	H4C5	H4C5	H4 clustered histone 5
P62805	H4C6	H4C6	H4 clustered histone 6
P62805	H4C8	H4C8	H4 clustered histone 8
P62805	H4C9	H4C9	H4 clustered histone 9
P62805	H4-16	H4-16	H4 histone 16
P62807	H2BC10	H2BC10	H2B clustered histone 10
P62807	H2BC4	H2BC4	H2B clustered histone 4
P62807	H2BC6	H2BC6	H2B clustered histone 6
P62807	H2BC7	H2BC7	H2B clustered histone 7
P62807	H2BC8	H2BC8	H2B clustered histone 8
P68431	H3C10	H3C10	H3 clustered histone 10
P68431	H3C11	H3C11	H3 clustered histone 11
P68431	H3C12	H3C12	H3 clustered histone 12
P68431	H3C1	H3C1	H3 clustered histone 1
P68431	H3C2	H3C2	H3 clustered histone 2
P68431	H3C3	H3C3	H3 clustered histone 3
P68431	H3C4	H3C4	H3 clustered histone 4
P68431	H3C6	H3C6	H3 clustered histone 6
P68431	H3C7	H3C7	H3 clustered histone 7
P68431	H3C8	H3C8	H3 clustered histone 8
P84243	H3-3A	H3-3A	H3.3 histone A
P84243	H3-3B	H3-3B	H3.3 histone B
Q9UI38	AC109583.1	NA	NA
Q9UI38	PRSS50	PRSS50	serine protease 50
